0.000000000000000000e+00,-1.000000000000000021e-02,1.000000000000000021e-02,-1.000000000000000021e-02
3.192901611328125000e-02,-5.000000000000000278e-02,2.200000000000000011e-01,-5.000000000000000278e-02
6.452775001525878906e-02,-5.999999999999999778e-02,4.000000000000000222e-01,-5.999999999999999778e-02
9.356880187988281250e-02,-1.000000000000000056e-01,5.400000000000000355e-01,-8.999999999999999667e-02
1.231069564819335938e-01,-1.199999999999999956e-01,6.400000000000000133e-01,-1.199999999999999956e-01
1.523811817169189453e-01,-1.499999999999999944e-01,7.299999999999999822e-01,-1.499999999999999944e-01
1.816811561584472656e-01,-1.900000000000000022e-01,8.000000000000000444e-01,-1.900000000000000022e-01
2.161226272583007812e-01,-2.300000000000000100e-01,8.699999999999999956e-01,-2.300000000000000100e-01
2.458155155181884766e-01,-2.700000000000000178e-01,9.300000000000000488e-01,-2.800000000000000266e-01
2.823817729949951172e-01,-3.200000000000000067e-01,9.799999999999999822e-01,-3.200000000000000067e-01
3.118448257446289062e-01,-3.599999999999999867e-01,1.020000000000000018e+00,-3.599999999999999867e-01
3.469293117523193359e-01,-4.099999999999999756e-01,1.050000000000000044e+00,-4.099999999999999756e-01
3.793857097625732422e-01,-4.400000000000000022e-01,1.080000000000000071e+00,-4.400000000000000022e-01
4.086341857910156250e-01,-4.799999999999999822e-01,1.080000000000000071e+00,-4.899999999999999911e-01
4.383637905120849609e-01,-5.200000000000000178e-01,1.080000000000000071e+00,-5.300000000000000266e-01
4.721069335937500000e-01,-5.600000000000000533e-01,1.090000000000000080e+00,-5.600000000000000533e-01
5.012567043304443359e-01,-5.899999999999999689e-01,1.070000000000000062e+00,-5.999999999999999778e-01
5.353457927703857422e-01,-6.199999999999999956e-01,1.070000000000000062e+00,-6.199999999999999956e-01
5.607514381408691406e-01,-6.500000000000000222e-01,1.050000000000000044e+00,-6.400000000000000133e-01
5.904533863067626953e-01,-6.600000000000000311e-01,1.040000000000000036e+00,-6.600000000000000311e-01
6.193933486938476562e-01,-6.899999999999999467e-01,1.010000000000000009e+00,-6.800000000000000488e-01
6.461770534515380859e-01,-6.999999999999999556e-01,9.899999999999999911e-01,-6.999999999999999556e-01
6.779706478118896484e-01,-7.199999999999999734e-01,9.699999999999999734e-01,-7.199999999999999734e-01
7.076253890991210938e-01,-7.299999999999999822e-01,9.499999999999999556e-01,-7.399999999999999911e-01
7.361128330230712891e-01,-7.399999999999999911e-01,9.300000000000000488e-01,-7.399999999999999911e-01
7.651872634887695312e-01,-7.500000000000000000e-01,9.300000000000000488e-01,-7.600000000000000089e-01
7.966692447662353516e-01,-7.700000000000000178e-01,9.100000000000000311e-01,-7.700000000000000178e-01
8.250072002410888672e-01,-7.800000000000000266e-01,9.100000000000000311e-01,-7.800000000000000266e-01
8.547360897064208984e-01,-7.900000000000000355e-01,9.100000000000000311e-01,-7.900000000000000355e-01
8.811991214752197266e-01,-7.900000000000000355e-01,9.200000000000000400e-01,-8.000000000000000444e-01
9.120955467224121094e-01,-8.000000000000000444e-01,9.300000000000000488e-01,-8.100000000000000533e-01
9.408612251281738281e-01,-8.100000000000000533e-01,9.499999999999999556e-01,-8.100000000000000533e-01
9.691050052642822266e-01,-8.199999999999999512e-01,9.699999999999999734e-01,-8.199999999999999512e-01
9.962534904479980469e-01,-8.299999999999999600e-01,1.000000000000000000e+00,-8.299999999999999600e-01
1.030106067657470703e+00,-8.399999999999999689e-01,1.040000000000000036e+00,-8.399999999999999689e-01
1.059819936752319336e+00,-8.499999999999999778e-01,1.060000000000000053e+00,-8.599999999999999867e-01
1.092869997024536133e+00,-8.699999999999999956e-01,1.110000000000000098e+00,-8.699999999999999956e-01
1.124645471572875977e+00,-8.900000000000000133e-01,1.149999999999999911e+00,-8.900000000000000133e-01
1.153119325637817383e+00,-9.000000000000000222e-01,1.179999999999999938e+00,-9.000000000000000222e-01
1.186210632324218750e+00,-9.399999999999999467e-01,1.219999999999999973e+00,-9.200000000000000400e-01
1.219080448150634766e+00,-9.499999999999999556e-01,1.260000000000000009e+00,-9.399999999999999467e-01
1.250934123992919922e+00,-9.599999999999999645e-01,1.280000000000000027e+00,-9.599999999999999645e-01
1.277684688568115234e+00,-9.899999999999999911e-01,1.310000000000000053e+00,-9.899999999999999911e-01
1.312222242355346680e+00,-1.010000000000000009e+00,1.330000000000000071e+00,-1.010000000000000009e+00
1.343501329421997070e+00,-1.030000000000000027e+00,1.350000000000000089e+00,-1.030000000000000027e+00
1.379509687423706055e+00,-1.040000000000000036e+00,1.350000000000000089e+00,-1.050000000000000044e+00
1.409751176834106445e+00,-1.070000000000000062e+00,1.350000000000000089e+00,-1.070000000000000062e+00
1.445029258728027344e+00,-1.090000000000000080e+00,1.340000000000000080e+00,-1.090000000000000080e+00
1.478605270385742188e+00,-1.100000000000000089e+00,1.320000000000000062e+00,-1.100000000000000089e+00
1.508435964584350586e+00,-1.129999999999999893e+00,1.310000000000000053e+00,-1.120000000000000107e+00
1.543314695358276367e+00,-1.120000000000000107e+00,1.290000000000000036e+00,-1.129999999999999893e+00
1.568840980529785156e+00,-1.139999999999999902e+00,1.270000000000000018e+00,-1.129999999999999893e+00
